V1	V2	V3	V4	V5	we
PIGM	PIGM	    93183.1	    93183.4	0.000036700	0.9491445
KCNJ10	KCNJ10	     3766.1	     3766.4	0.000036700	0.9491445
KCNJ9	KCNJ9	     3765.1	     3765.4	0.000036700	0.9491445
IGSF8	IGSF8	    93185.1	    93185.4	0.000036700	0.9491445
ATP1A2	ATP1A2	      477.1	      477.4	0.000036700	0.9491445
ATP1A4	ATP1A4	      480.1	      480.4	0.000036700	0.9491445
CASQ1	CASQ1	      844.1	      844.4	0.000036700	0.9491445
PEA15	PEA15	     8682.1	     8682.4	0.000036700	0.9491445
DCAF8	DCAF8	    50717.1	    50717.4	0.000036700	0.9491445
PEX19	PEX19	     5824.1	     5824.4	0.000036700	0.9491445
COPA	COPA	     1314.1	     1314.4	0.000036700	0.9491445
NCSTN	NCSTN	    23385.1	    23385.4	0.000036700	0.9491445
NHLH1	NHLH1	     4807.1	     4807.4	0.000036700	0.9491445
VANGL2	VANGL2	    57216.1	    57216.4	0.000036700	0.9491445
SLAMF6	SLAMF6	   114836.1	   114836.4	0.000036700	0.9491445
CD84	CD84	     8832.1	     8832.4	0.000036700	0.9491445
SLAMF1	SLAMF1	     6504.1	     6504.4	0.000036700	0.9491445
CD48	CD48	      962.1	      962.4	0.000036700	0.9491445
SLAMF7	SLAMF7	    57823.1	    57823.4	0.000036700	0.9491445
LY9	LY9	     4063.1	     4063.4	0.000036700	0.9491445
CD244	CD244	    51744.1	    51744.4	0.000036700	0.9491445
ITLN1	ITLN1	    55600.1	    55600.4	0.000036700	0.9491445
ITLN2	ITLN2	   142683.1	   142683.4	0.000036700	0.9491445
F11R	F11R	    50848.1	    50848.4	0.000036700	0.9491445
TSTD1	TSTD1	100131187.1	100131187.4	0.000036700	0.9491445
USF1	USF1	     7391.1	     7391.4	0.000036700	0.9491445
ARHGAP30	ARHGAP30	   257106.1	   257106.4	0.000036700	0.9491445
KLHDC9	KLHDC9	   126823.1	   126823.4	0.000036700	0.9491445
FCGR2A	FCGR2A	     2212.1	     2212.4	0.000036700	0.9491445
FCGR2B	FCGR2B	     2213.1	     2213.4	0.000036700	0.9491445
FCGR2C	FCGR2C	     9103.1	     9103.4	0.000036700	0.9491445
FCGR3A	FCGR3A	     2214.1	     2214.4	0.000036700	0.9491445
FCGR3B	FCGR3B	     2215.1	     2215.4	0.000036700	0.9491445
HSPA6	HSPA6	     3310.1	     3310.4	0.000036700	0.9491445
RPL31P11	RPL31P11	   641311.1	   641311.4	0.000036700	0.9491445
FCRLA	FCRLA	    84824.1	    84824.4	0.000036700	0.9491445
FCRLB	FCRLB	   127943.1	   127943.4	0.000036700	0.9491445
DUSP12	DUSP12	    11266.1	    11266.4	0.000036700	0.9491445
ATF6	ATF6	    22926.1	    22926.4	0.000036700	0.9491445
OLFML2B	OLFML2B	    25903.1	    25903.4	0.000036700	0.9491445
NOS1AP	NOS1AP	     9722.1	     9722.4	0.000036700	0.9491445
MIR4654	MIR4654	100616386.1	100616386.4	0.000036700	0.9491445
RNA5SP61	RNA5SP61	100873296.1	100873296.4	0.000036700	0.9491445
MIR556	MIR556	   693141.1	   693141.4	0.000036700	0.9491445
C1orf226	C1orf226	   400793.1	   400793.4	0.000036700	0.9491445
SH2D1B	SH2D1B	   117157.1	   117157.4	0.000036700	0.9491445
UHMK1	UHMK1	   127933.1	   127933.4	0.000036700	0.9491445
UAP1	UAP1	     6675.1	     6675.4	0.000036700	0.9491445
DDR2	DDR2	     4921.1	     4921.4	0.000036700	0.9491445
HSD17B7	HSD17B7	    51478.1	    51478.4	0.000036700	0.9491445
RGS4	RGS4	     5999.1	     5999.4	0.000036700	0.9491445
RGS5	RGS5	     8490.1	     8490.4	0.000036700	0.9491445
NUF2	NUF2	    83540.1	    83540.4	0.000036700	0.9491445
LMX1A	LMX1A	     4009.1	     4009.4	0.000036700	0.9491445
RXRG	RXRG	     6258.1	     6258.4	0.000036700	0.9491445
LRRC52	LRRC52	   440699.1	   440699.4	0.000036700	0.9491445
MGST3	MGST3	     4259.1	     4259.4	0.000036700	0.9491445
ALDH9A1	ALDH9A1	      223.1	      223.4	0.000036700	0.9491445
TMCO1	TMCO1	    54499.1	    54499.4	0.000036700	0.9491445
UCK2	UCK2	     7371.1	     7371.4	0.000036700	0.9491445
FAM78B	FAM78B	   149297.1	   149297.4	0.000036700	0.9491445
FMO9P	FMO9P	   116123.1	   116123.4	0.000036700	0.9491445
POGK	POGK	    57645.1	    57645.4	0.000036700	0.9491445
TADA1	TADA1	   117143.1	   117143.4	0.000036700	0.9491445
ILDR2	ILDR2	   387597.1	   387597.4	0.000036700	0.9491445
MAEL	MAEL	    84944.1	    84944.4	0.000036700	0.9491445
RNA5SP65	RNA5SP65	100873300.1	100873300.4	0.000036700	0.9491445
GPA33	GPA33	    10223.1	    10223.4	0.000036700	0.9491445
DUSP27	DUSP27	    92235.1	    92235.4	0.000036700	0.9491445
POU2F1	POU2F1	     5451.1	     5451.4	0.000036700	0.9491445
CD247	CD247	      919.1	      919.4	0.000036700	0.9491445
MPC2	MPC2	    25874.1	    25874.4	0.000036700	0.9491445
MIR1255B2	MIR1255B2	100313835.1	100313835.4	0.000036700	0.9491445
GPR161	GPR161	    23432.1	    23432.4	0.000036700	0.9491445
TIPRL	TIPRL	   261726.1	   261726.4	0.000036700	0.9491445
SFT2D2	SFT2D2	   375035.1	   375035.4	0.000036700	0.9491445
TBX19	TBX19	     9095.1	     9095.4	0.000036700	0.9491445
HCN3	HCN3	    57657.1	    57657.4	0.000060500	0.9265251
PKLR	PKLR	     5313.1	     5313.4	0.000060500	0.9265251
FDPS	FDPS	     2224.1	     2224.4	0.000060500	0.9265251
RUSC1	RUSC1	    23623.1	    23623.4	0.000060500	0.9265251
PEAR1	PEAR1	   375033.1	   375033.4	0.000060500	0.9265251
LRRC71	LRRC71	   149499.1	   149499.4	0.000060500	0.9265251
ARHGEF11	ARHGEF11	     9826.1	     9826.4	0.000060500	0.9265251
MIR765	MIR765	   768220.1	   768220.4	0.000060500	0.9265251
ETV3L	ETV3L	   440695.1	   440695.4	0.000060500	0.9265251
ETV3	ETV3	     2117.1	     2117.4	0.000060500	0.9265251
FCRL5	FCRL5	    83416.1	    83416.4	0.000060500	0.9265251
FCRL4	FCRL4	    83417.1	    83417.4	0.000060500	0.9265251
FCRL3	FCRL3	   115352.1	   115352.4	0.000060500	0.9265251
FCRL2	FCRL2	    79368.1	    79368.4	0.000060500	0.9265251
FCRL1	FCRL1	   115350.1	   115350.4	0.000060500	0.9265251
CD1D	CD1D	      912.1	      912.4	0.000060500	0.9265251
CD1A	CD1A	      909.1	      909.4	0.000060500	0.9265251
CD1C	CD1C	      911.1	      911.4	0.000060500	0.9265251
CD1B	CD1B	      910.1	      910.4	0.000060500	0.9265251
CD1E	CD1E	      913.1	      913.4	0.000060500	0.9265251
OR10K1	OR10K1	   391109.1	   391109.4	0.000060500	0.9265251
OR6P1	OR6P1	   128366.1	   128366.4	0.000060500	0.9265251
SPTA1	SPTA1	     6708.1	     6708.4	0.000060500	0.9265251
OR6K2	OR6K2	    81448.1	    81448.4	0.000060500	0.9265251
OR6K3	OR6K3	   391114.1	   391114.4	0.000060500	0.9265251
OR6K6	OR6K6	   128371.1	   128371.4	0.000060500	0.9265251
OR6N1	OR6N1	   128372.1	   128372.4	0.000060500	0.9265251
PBX1	PBX1	     5087.1	     5087.4	0.000060500	0.9265251
MIR557	MIR557	   693142.1	   693142.4	0.000060500	0.9265251
XCL2	XCL2	     6846.1	     6846.4	0.000060500	0.9265251
XCL1	XCL1	     6375.1	     6375.4	0.000060500	0.9265251
DPT	DPT	     1805.1	     1805.4	0.000060500	0.9265251
LINC00626	LINC00626	    79100.1	    79100.4	0.000060500	0.9265251
LINC00970	LINC00970	101978719.1	101978719.4	0.000060500	0.9265251
SNORA26	SNORA26	   677810.1	   677810.4	0.000098000	0.9032927
CKS1B	CKS1B	     1163.1	     1163.4	0.000098000	0.9032927
SHC1	SHC1	     6464.1	     6464.4	0.000098000	0.9032927
MIR4258	MIR4258	100423020.1	100423020.4	0.000098000	0.9032927
SCARNA4	SCARNA4	   677771.1	   677771.4	0.000098000	0.9032927
LENEP	LENEP	    55891.1	    55891.4	0.000098000	0.9032927
ZBTB7B	ZBTB7B	    51043.1	    51043.4	0.000098000	0.9032927
DCST2	DCST2	   127579.1	   127579.4	0.000098000	0.9032927
DCST1	DCST1	   149095.1	   149095.4	0.000098000	0.9032927
ADAM15	ADAM15	     8751.1	     8751.4	0.000098000	0.9032927
EFNA3	EFNA3	     1944.1	     1944.4	0.000098000	0.9032927
EFNA4	EFNA4	     1945.1	     1945.4	0.000098000	0.9032927
EFNA1	EFNA1	     1942.1	     1942.4	0.000098000	0.9032927
DPM3	DPM3	    54344.1	    54344.4	0.000098000	0.9032927
SLC50A1	SLC50A1	    55974.1	    55974.4	0.000098000	0.9032927
KRTCAP2	KRTCAP2	   200185.1	   200185.4	0.000098000	0.9032927
TRIM46	TRIM46	    80128.1	    80128.4	0.000098000	0.9032927
MUC1	MUC1	     4582.1	     4582.4	0.000098000	0.9032927
THBS3	THBS3	     7059.1	     7059.4	0.000098000	0.9032927
MTX1	MTX1	     4580.1	     4580.4	0.000098000	0.9032927
GBAP1	GBAP1	     2630.1	     2630.4	0.000098000	0.9032927
GBA	GBA	     2629.1	     2629.4	0.000098000	0.9032927
FAM189B	FAM189B	    10712.1	    10712.4	0.000098000	0.9032927
SCAMP3	SCAMP3	    10067.1	    10067.4	0.000098000	0.9032927
CLK2	CLK2	     1196.1	     1196.4	0.000098000	0.9032927
ASH1L	ASH1L	    55870.1	    55870.4	0.000098000	0.9032927
MSTO1	MSTO1	    55154.1	    55154.4	0.000098000	0.9032927
YY1AP1	YY1AP1	    55249.1	    55249.4	0.000098000	0.9032927
DAP3	DAP3	     7818.1	     7818.4	0.000098000	0.9032927
GON4L	GON4L	    54856.1	    54856.4	0.000098000	0.9032927
SYT11	SYT11	    23208.1	    23208.4	0.000098000	0.9032927
RIT1	RIT1	     6016.1	     6016.4	0.000098000	0.9032927
RXFP4	RXFP4	   339403.1	   339403.4	0.000098000	0.9032927
ARHGEF2	ARHGEF2	     9181.1	     9181.4	0.000098000	0.9032927
SSR2	SSR2	     6746.1	     6746.4	0.000098000	0.9032927
UBQLN4	UBQLN4	    56893.1	    56893.4	0.000098000	0.9032927
LAMTOR2	LAMTOR2	    28956.1	    28956.4	0.000098000	0.9032927
RAB25	RAB25	    57111.1	    57111.4	0.000098000	0.9032927
MEX3A	MEX3A	    92312.1	    92312.4	0.000098000	0.9032927
LMNA	LMNA	     4000.1	     4000.4	0.000098000	0.9032927
SEMA4A	SEMA4A	    64218.1	    64218.4	0.000098000	0.9032927
SLC25A44	SLC25A44	     9673.1	     9673.4	0.000098000	0.9032927
PMF1	PMF1	    11243.1	    11243.4	0.000098000	0.9032927
BGLAP	BGLAP	      632.1	      632.4	0.000098000	0.9032927
PAQR6	PAQR6	    79957.1	    79957.4	0.000098000	0.9032927
SMG5	SMG5	    23381.1	    23381.4	0.000098000	0.9032927
TMEM79	TMEM79	    84283.1	    84283.4	0.000098000	0.9032927
VHLL	VHLL	   391104.1	   391104.4	0.000098000	0.9032927
CCT3	CCT3	     7203.1	     7203.4	0.000098000	0.9032927
TSACC	TSACC	   128229.1	   128229.4	0.000098000	0.9032927
RHBG	RHBG	    57127.1	    57127.4	0.000098000	0.9032927
C1orf61	C1orf61	    10485.1	    10485.4	0.000098000	0.9032927
MEF2D	MEF2D	     4209.1	     4209.4	0.000098000	0.9032927
IQGAP3	IQGAP3	   128239.1	   128239.4	0.000098000	0.9032927
TTC24	TTC24	   164118.1	   164118.4	0.000098000	0.9032927
GPATCH4	GPATCH4	    54865.1	    54865.4	0.000098000	0.9032927
HAPLN2	HAPLN2	    60484.1	    60484.4	0.000098000	0.9032927
BCAN	BCAN	    63827.1	    63827.4	0.000098000	0.9032927
NES	NES	    10763.1	    10763.4	0.000098000	0.9032927
CRABP2	CRABP2	     1382.1	     1382.4	0.000098000	0.9032927
ISG20L2	ISG20L2	    81875.1	    81875.4	0.000098000	0.9032927
RRNAD1	RRNAD1	    51093.1	    51093.4	0.000098000	0.9032927
MRPL24	MRPL24	    79590.1	    79590.4	0.000098000	0.9032927
HDGF	HDGF	     3068.1	     3068.4	0.000098000	0.9032927
PRCC	PRCC	     5546.1	     5546.4	0.000098000	0.9032927
SH2D2A	SH2D2A	     9047.1	     9047.4	0.000098000	0.9032927
NTRK1	NTRK1	     4914.1	     4914.4	0.000098000	0.9032927
INSRR	INSRR	     3645.1	     3645.4	0.000098000	0.9032927
F5	F5	     2153.1	     2153.4	0.000098000	0.9032927
C1orf112	C1orf112	    55732.1	    55732.4	0.000098000	0.9032927
SELL	SELL	     6402.1	     6402.4	0.000098000	0.9032927
SELE	SELE	     6401.1	     6401.4	0.000098000	0.9032927
PMVK	PMVK	    10654.1	    10654.4	0.000156352	0.8988812
PBXIP1	PBXIP1	    57326.1	    57326.4	0.000156352	0.8988812
PYGO2	PYGO2	    90780.1	    90780.4	0.000156352	0.8988812
ATP1B1	ATP1B1	      481.1	      481.4	0.000156352	0.8988812
NME7	NME7	    29922.1	    29922.4	0.000156352	0.8988812
BLZF1	BLZF1	     8548.1	     8548.4	0.000156352	0.8988812
CCDC181	CCDC181	    57821.1	    57821.4	0.000156352	0.8988812
SLC19A2	SLC19A2	    10560.1	    10560.4	0.000156352	0.8988812
METTL18	METTL18	    92342.1	    92342.4	0.000156352	0.8988812
SCYL3	SCYL3	    57147.1	    57147.4	0.000156352	0.8988812
KIFAP3	KIFAP3	    22920.1	    22920.4	0.000156352	0.8988812
METTL11B	METTL11B	   149281.1	   149281.4	0.000156352	0.8988812
GORAB	GORAB	    92344.1	    92344.4	0.000156352	0.8988812
SEC16B	SEC16B	    89866.1	    89866.4	0.000156352	0.8988812
RASAL2	RASAL2	     9462.1	     9462.4	0.000156352	0.8988812
RALGPS2	RALGPS2	    55103.1	    55103.4	0.000156352	0.8988812
ANGPTL1	ANGPTL1	     9068.1	     9068.4	0.000156352	0.8988812
FAM20B	FAM20B	     9917.1	     9917.4	0.000156352	0.8988812
TOR3A	TOR3A	    64222.1	    64222.4	0.000156352	0.8988812
ABL2	ABL2	       27.1	       27.4	0.000156352	0.8988812
SOAT1	SOAT1	     6646.1	     6646.4	0.000156352	0.8988812
AXDND1	AXDND1	   126859.1	   126859.4	0.000156352	0.8988812
NPHS2	NPHS2	     7827.1	     7827.4	0.000156352	0.8988812
TDRD5	TDRD5	   163589.1	   163589.4	0.000156352	0.8988812
FAM163A	FAM163A	   148753.1	   148753.4	0.000156352	0.8988812
TOR1AIP2	TOR1AIP2	   163590.1	   163590.4	0.000156352	0.8988812
TOR1AIP1	TOR1AIP1	    26092.1	    26092.4	0.000156352	0.8988812
CEP350	CEP350	     9857.1	     9857.4	0.000156352	0.8988812
QSOX1	QSOX1	     5768.1	     5768.4	0.000156352	0.8988812
LHX4	LHX4	    89884.1	    89884.4	0.000156352	0.8988812
ACBD6	ACBD6	    84320.1	    84320.4	0.000156352	0.8988812
XPR1	XPR1	     9213.1	     9213.4	0.000156352	0.8988812
KIAA1614	KIAA1614	    57710.1	    57710.4	0.000156352	0.8988812
STX6	STX6	    10228.1	    10228.4	0.000156352	0.8988812
MR1	MR1	     3140.1	     3140.4	0.000156352	0.8988812
IER5	IER5	    51278.1	    51278.4	0.000156352	0.8988812
CACNA1E	CACNA1E	      777.1	      777.4	0.000156352	0.8988812
HMCN1	HMCN1	    83872.1	    83872.4	0.000156352	0.8988812
SPRR2B	SPRR2B	     6701.1	     6701.4	0.000245506	0.8910079
SPRR2E	SPRR2E	     6704.1	     6704.4	0.000245506	0.8910079
SPRR2F	SPRR2F	     6705.1	     6705.4	0.000245506	0.8910079
SPRR2G	SPRR2G	     6706.1	     6706.4	0.000245506	0.8910079
CHTOP	CHTOP	    26097.1	    26097.4	0.000245506	0.8910079
SNAPIN	SNAPIN	    23557.1	    23557.4	0.000245506	0.8910079
ILF2	ILF2	     3608.1	     3608.4	0.000245506	0.8910079
NPR1	NPR1	     4881.1	     4881.4	0.000245506	0.8910079
PRRX1	PRRX1	     5396.1	     5396.4	0.000245506	0.8910079
SUCO	SUCO	    51430.1	    51430.4	0.000245506	0.8910079
FASLG	FASLG	      356.1	      356.4	0.000245506	0.8910079
TNFSF18	TNFSF18	     8995.1	     8995.4	0.000245506	0.8910079
TNFSF4	TNFSF4	     7292.1	     7292.4	0.000245506	0.8910079
PRDX6	PRDX6	     9588.1	     9588.4	0.000245506	0.8910079
SLC9C2	SLC9C2	   284525.1	   284525.4	0.000245506	0.8910079
ANKRD45	ANKRD45	   339416.1	   339416.4	0.000245506	0.8910079
KLHL20	KLHL20	    27252.1	    27252.4	0.000245506	0.8910079
CENPL	CENPL	    91687.1	    91687.4	0.000245506	0.8910079
DARS2	DARS2	    55157.1	    55157.4	0.000245506	0.8910079
GAS5	GAS5	    60674.1	    60674.4	0.000245506	0.8910079
ZBTB37	ZBTB37	    84614.1	    84614.4	0.000245506	0.8910079
RNA5SP67	RNA5SP67	100873302.1	100873302.4	0.000245506	0.8910079
RC3H1	RC3H1	   149041.1	   149041.4	0.000245506	0.8910079
RNA5SP68	RNA5SP68	100873303.1	100873303.4	0.000245506	0.8910079
RABGAP1L	RABGAP1L	     9910.1	     9910.4	0.000245506	0.8910079
GPR52	GPR52	     9293.1	     9293.4	0.000245506	0.8910079
CACYBP	CACYBP	    27101.1	    27101.4	0.000245506	0.8910079
MRPS14	MRPS14	    63931.1	    63931.4	0.000245506	0.8910079
TNN	TNN	    63923.1	    63923.4	0.000245506	0.8910079
KIAA0040	KIAA0040	     9674.1	     9674.4	0.000245506	0.8910079
TNR	TNR	     7143.1	     7143.4	0.000245506	0.8910079
SCARNA3	SCARNA3	   677679.1	   677679.4	0.000245506	0.8910079
PAPPA2	PAPPA2	    60676.1	    60676.4	0.000245506	0.8910079
ASTN1	ASTN1	      460.1	      460.4	0.000245506	0.8910079
TEX35	TEX35	    84066.1	    84066.4	0.000245506	0.8910079
C1orf220	C1orf220	   400798.1	   400798.4	0.000245506	0.8910079
RNA5SP69	RNA5SP69	100873304.1	100873304.4	0.000245506	0.8910079
MIR4424	MIR4424	100616328.1	100616328.4	0.000245506	0.8910079
ZNF648	ZNF648	   127665.1	   127665.4	0.000245506	0.8910079
GLUL	GLUL	     2752.1	     2752.4	0.000245506	0.8910079
TEDDM1	TEDDM1	   127670.1	   127670.4	0.000245506	0.8910079
LINC00272	LINC00272	   388719.1	   388719.4	0.000245506	0.8910079
RGSL1	RGSL1	   353299.1	   353299.4	0.000245506	0.8910079
RNASEL	RNASEL	     6041.1	     6041.4	0.000245506	0.8910079
RGS16	RGS16	     6004.1	     6004.4	0.000245506	0.8910079
RGS8	RGS8	    85397.1	    85397.4	0.000245506	0.8910079
NPL	NPL	    80896.1	    80896.4	0.000245506	0.8910079
DHX9	DHX9	     1660.1	     1660.4	0.000245506	0.8910079
SHCBP1L	SHCBP1L	    81626.1	    81626.4	0.000245506	0.8910079
LAMC1	LAMC1	     3915.1	     3915.4	0.000245506	0.8910079
LAMC2	LAMC2	     3918.1	     3918.4	0.000245506	0.8910079
NMNAT2	NMNAT2	    23057.1	    23057.4	0.000245506	0.8910079
SMG7	SMG7	     9887.1	     9887.4	0.000245506	0.8910079
NCF2	NCF2	     4688.1	     4688.4	0.000245506	0.8910079
ARPC5	ARPC5	    10092.1	    10092.4	0.000245506	0.8910079
RGL1	RGL1	    23179.1	    23179.4	0.000245506	0.8910079
APOBEC4	APOBEC4	   403314.1	   403314.4	0.000245506	0.8910079
COLGALT2	COLGALT2	    23127.1	    23127.4	0.000245506	0.8910079
TSEN15	TSEN15	   116461.1	   116461.4	0.000245506	0.8910079
C1orf21	C1orf21	    81563.1	    81563.4	0.000245506	0.8910079
EDEM3	EDEM3	    80267.1	    80267.4	0.000245506	0.8910079
FAM129A	FAM129A	   116496.1	   116496.4	0.000245506	0.8910079
RNA5SP72	RNA5SP72	100873306.1	100873306.4	0.000245506	0.8910079
RNF2	RNF2	     6045.1	     6045.4	0.000245506	0.8910079
TRMT1L	TRMT1L	    81627.1	    81627.4	0.000245506	0.8910079
SWT1	SWT1	    54823.1	    54823.4	0.000245506	0.8910079
IVNS1ABP	IVNS1ABP	    10625.1	    10625.4	0.000245506	0.8910079
KCNT2	KCNT2	   343450.1	   343450.4	0.000245506	0.8910079
MIR4735	MIR4735	100616363.1	100616363.4	0.000245506	0.8910079
CFH	CFH	     3075.1	     3075.4	0.000245506	0.8910079
CFHR1	CFHR1	     3078.1	     3078.4	0.000245506	0.8910079
CFHR2	CFHR2	     3080.1	     3080.4	0.000245506	0.8910079
CFHR3	CFHR3	    10878.1	    10878.4	0.000245506	0.8910079
CFHR4	CFHR4	    10877.1	    10877.4	0.000245506	0.8910079
CFHR5	CFHR5	    81494.1	    81494.4	0.000245506	0.8910079
F13B	F13B	     2165.1	     2165.4	0.000245506	0.8910079
DENND1B	DENND1B	   163486.1	   163486.4	0.000245506	0.8910079
C1orf53	C1orf53	   388722.1	   388722.4	0.000245506	0.8910079
LHX9	LHX9	    56956.1	    56956.4	0.000245506	0.8910079
NEK7	NEK7	   140609.1	   140609.4	0.000245506	0.8910079
ATP6V1G3	ATP6V1G3	   127124.1	   127124.4	0.000245506	0.8910079
PTPRC	PTPRC	     5788.1	     5788.4	0.000245506	0.8910079
MIR181A1HG	MIR181A1HG	100131234.1	100131234.4	0.000245506	0.8910079
MIR181B1	MIR181B1	   406955.1	   406955.4	0.000245506	0.8910079
RNA5SP73	RNA5SP73	100873307.1	100873307.4	0.000334794	0.8566106
RGS18	RGS18	    64407.1	    64407.4	0.000334794	0.8566106
RGS21	RGS21	   431704.1	   431704.4	0.000334794	0.8566106
RGS1	RGS1	     5996.1	     5996.4	0.000334794	0.8566106
RGS13	RGS13	     6003.1	     6003.4	0.000334794	0.8566106
RGS2	RGS2	     5997.1	     5997.4	0.000334794	0.8566106
LELP1	LELP1	   149018.1	   149018.4	0.000379506	0.8495936
PRR9	PRR9	   574414.1	   574414.4	0.000379506	0.8495936
LOR	LOR	     4014.1	     4014.4	0.000379506	0.8495936
PGLYRP3	PGLYRP3	   114771.1	   114771.4	0.000379506	0.8495936
PGLYRP4	PGLYRP4	    57115.1	    57115.4	0.000379506	0.8495936
S100A12	S100A12	     6283.1	     6283.4	0.000379506	0.8495936
S100A8	S100A8	     6279.1	     6279.4	0.000379506	0.8495936
S100A9	S100A9	     6280.1	     6280.4	0.000379506	0.8495936
S100A7A	S100A7A	   338324.1	   338324.4	0.000379506	0.8495936
S100A7L2	S100A7L2	   645922.1	   645922.4	0.000379506	0.8495936
S100A7	S100A7	     6278.1	     6278.4	0.000379506	0.8495936
S100A3	S100A3	     6274.1	     6274.4	0.000379506	0.8495936
S100A5	S100A5	     6276.1	     6276.4	0.000379506	0.8495936
S100A6	S100A6	     6277.1	     6277.4	0.000379506	0.8495936
S100A2	S100A2	     6273.1	     6273.4	0.000379506	0.8495936
S100A16	S100A16	   140576.1	   140576.4	0.000379506	0.8495936
S100A14	S100A14	    57402.1	    57402.4	0.000379506	0.8495936
S100A13	S100A13	     6284.1	     6284.4	0.000379506	0.8495936
S100A1	S100A1	     6271.1	     6271.4	0.000379506	0.8495936
INTS3	INTS3	    65123.1	    65123.4	0.000379506	0.8495936
SLC27A3	SLC27A3	    11000.1	    11000.4	0.000379506	0.8495936
GATAD2B	GATAD2B	    57459.1	    57459.4	0.000379506	0.8495936
DENND4B	DENND4B	     9909.1	     9909.4	0.000379506	0.8495936
CRTC2	CRTC2	   200186.1	   200186.4	0.000379506	0.8495936
SLC39A1	SLC39A1	    27173.1	    27173.4	0.000379506	0.8495936
CREB3L4	CREB3L4	   148327.1	   148327.4	0.000379506	0.8495936
JTB	JTB	    10899.1	    10899.4	0.000379506	0.8495936
RAB13	RAB13	     5872.1	     5872.4	0.000379506	0.8495936
NUP210L	NUP210L	    91181.1	    91181.4	0.000379506	0.8495936
RPS27	RPS27	     6232.1	     6232.4	0.000379506	0.8495936
MIR5698	MIR5698	100847024.1	100847024.4	0.000379506	0.8495936
HAX1	HAX1	    10456.1	    10456.4	0.000379506	0.8495936
AQP10	AQP10	    89872.1	    89872.4	0.000379506	0.8495936
ATP8B2	ATP8B2	    57198.1	    57198.4	0.000379506	0.8495936
IL6R	IL6R	     3570.1	     3570.4	0.000379506	0.8495936
SHE	SHE	   126669.1	   126669.4	0.000379506	0.8495936
TDRD10	TDRD10	   126668.1	   126668.4	0.000379506	0.8495936
ASPM	ASPM	   259266.1	   259266.4	0.000441560	0.8463573
ZBTB41	ZBTB41	   360023.1	   360023.4	0.000441560	0.8463573
CRB1	CRB1	    23418.1	    23418.4	0.000441560	0.8463573
SNORA31	SNORA31	   677814.1	   677814.4	0.000516880	0.8348978
CGN	CGN	    57530.1	    57530.4	0.000516880	0.8348978
TUFT1	TUFT1	     7286.1	     7286.4	0.000516880	0.8348978
MIR554	MIR554	   693139.1	   693139.4	0.000516880	0.8348978
